nome,porcentagem_desconto,preço,tipo
Xbox - Cartão Presente Digital 10 Reais,0,"R$ 10,00",Padrão
Cult of the Lamb,0,"R$ 64,95",Padrão
Xbox - Cartão Presente Digital 25 Reais,0,"R$ 25,00",Padrão
Crunchyroll Fan - 1 mês,0,"R$ 14,99",Padrão
Tales of Symphonia,-50%,"R$ 18,49",Padrão
LEGO Batman,-94%,"R$ 4,50",Padrão
LEGO City Undercover,-90%,"R$ 8,99",Padrão
LEGO The Lord of the Rings,0,"R$ 89,99",Padrão
LEGO Marvel Super Heroes 2: Deluxe Edition,-94%,"R$ 8,00",Padrão
Mortal Kombat 11,-90%,"R$ 22,99",Padrão
Hotline Miami,0,"R$ 16,99",Padrão
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,-85%,"R$ 32,98",Padrão
Freedom Fighters,-80%,"R$ 5,79",Padrão
Hotline Miami 2: Wrong Number - Digital Special Edition,0,"R$ 34,99",Padrão
Monster Hunter Rise,0,"R$ 139,90",Padrão
Euro Truck Simulator 2 - Beyond the Baltic Sea,0,"R$ 44,99",DLC
Wolcen: Lords of Mayhem,0,"R$ 75,49",Padrão
LEGO Star Wars - The Complete Saga,0,"R$ 37,99",Padrão
The Walking Dead,0,"R$ 28,99",Padrão
Euro Truck Simulator 2 - High Power Cargo Pack,0,"R$ 10,49",DLC
Blair Witch,-75%,"R$ 14,49",Padrão
Monster Hunter World: Iceborne,0,"R$ 89,99",DLC
DEVIL MAY CRY 5 DELUXE + VERGIL,0,"R$ 119,99",Padrão
Kingdom Come: Deliverance - Royal Edition,0,"R$ 69,99",Padrão
Shadow Warrior 2,0,"R$ 72,99",Padrão
Injustice 2 - Legendary Edition,-85%,"R$ 41,99",Padrão
Xbox - Cartão Presente Digital 50 Reais,0,"R$ 50,00",Padrão
The Universim,0,"R$ 55,99",Padrão
Starship Troopers - Terran Command,0,"R$ 57,99",Padrão
Minecraft: Java and Bedrock Edition,0,"R$ 129,00",Padrão
Mortal Kombat 11 Kombat Pack 1,-90%,"R$ 5,99",DLC
Crunchyroll Mega Fan - 1 mês,0,"R$ 19,99",Padrão
Crypt of the NecroDancer,0,"R$ 27,99",Padrão
Dying Light Definitive Edition,-80%,"R$ 24,99",Padrão
Dragon Ball Xenoverse 2,0,"R$ 159,90",Padrão
LEGO DC Super-Villains - Deluxe Edition,-94%,"R$ 12,75",Padrão
Elden Ring,0,"R$ 249,90",Padrão
Moonlighter,-85%,"R$ 5,69",Padrão
Call of Juarez 2: Bound in Blood,-80%,"R$ 3,99",Padrão
Xbox - Cartão Presente Digital 40 Reais,0,"R$ 40,00",Padrão
Naruto Storm 4: Road to Boruto Expansion,0,"R$ 36,99",DLC
MONSTER HUNTER: WORLD,0,"R$ 69,99",Padrão
F1 Manager 2022,0,"R$ 99,99",Padrão
S.T.A.L.K.E.R.: Call of Pripyat,0,"R$ 34,99",Padrão
DayZ Livonia,-30%,"R$ 17,49",DLC
Tom Clancy’s Rainbow Six - SIEGE - Standard Edition,0,"R$ 59,99",Padrão
Devil May Cry 4: Edição Especial,0,"R$ 49,99",Padrão
Metal Gear Solid V: Ground Zeroes,0,"R$ 36,99",Padrão
Ultra Street Fighter IV,0,"R$ 59,99",Padrão
Riot Points - Gift Card Digital 50 Reais,0,"R$ 50,00",Padrão
Xbox - Cartão Presente Digital 100 Reais,0,"R$ 100,00",Padrão
Silent Hill Homecoming,0,"R$ 34,99",Padrão
Graveyard Keeper,-60%,"R$ 15,19",Padrão
For The King Double Keys,0,"R$ 75,98",Padrão
Resident Evil: Revelations 2 Deluxe Edition,0,"R$ 74,99",Padrão
Wildfrost,0,"R$ 59,99",Padrão
LEGO Marvel Super Heroes 2 - Season Pass,-90%,"R$ 2,99",DLC
DRAGON BALL FighterZ,0,"R$ 149,90",Padrão
Mega Man 11,0,"R$ 69,99",Padrão
Super Bomberman R,0,"R$ 150,00",Padrão
Destiny 2: Legacy Collection,-50%,"R$ 74,99",Padrão
Ni no Kuni Wrath of the White Witch Remastered,-80%,"R$ 25,99",Padrão
The LEGO Movie 2 Videogame,-94%,"R$ 6,50",Padrão
Middle-earth Shadow of Mordor - GOTY Edition Upgrade,-75%,"R$ 4,99",DLC
Conan Exiles,0,"R$ 99,49",Padrão
Inscryption,0,"R$ 49,99",Padrão
Euro Truck Simulator 2 - Cabin Accessories,0,"R$ 11,49",DLC
LEGO Indiana Jones: The Original Adventures,0,"R$ 37,99",Padrão
Darksiders III - Deluxe Edition,0,"R$ 93,99",Padrão
Euro Truck Simulator 2 - Wheel Tuning Pack,0,"R$ 6,49",DLC
Mega Man Legacy Collection,0,"R$ 29,99",Padrão
DREDGE,0,"R$ 89,99",Padrão
Castlevania: Lords of Shadow 2 - Relic Rune Pack,0,"R$ 2,19",DLC
NARUTO TO BORUTO - SHINOBI STRIKER Deluxe Edition,0,"R$ 239,90",Padrão
Force of Nature 2: Ghost Keeper,0,"R$ 30,99",Padrão
Forager,0,"R$ 37,99",Padrão
Horizon Chase Turbo,0,"R$ 49,99",Padrão
Castlevania: Lords of Shadow 2 - Armored Dracula Costume,0,"R$ 2,19",DLC
Star Wars: Knights of the Old Republic II - The Sith Lords,0,"R$ 19,99",Padrão
LEGO Batman 3: Beyond Gotham Season Pass,-90%,"R$ 2,79",DLC
Far Cry 4,0,"R$ 89,99",Padrão
Castlevania: Lords of Shadow 2 - Dark Dracula Costume,0,"R$ 2,19",DLC
Batman: Arkham Origins - Season Pass,-80%,"R$ 7,39",DLC
