,nome,porcentagem_desconto,preco,tipo
189,dragon ball xenoverse 2,0,159.9,padrao
190,lego dc supervillains  deluxe edition,94,12.75,padrao
191,elden ring,0,249.9,padrao
192,moonlighter,85,5.69,padrao
193,call of juarez 2 bound in blood,80,3.99,padrao
194,xbox  cartao presente digital 40 reais,0,40.0,padrao
195,naruto storm 4 road to boruto expansion,0,36.99,dlc
196,monster hunter world,0,69.99,padrao
197,f1 manager 2022,0,99.99,padrao
198,s.t.a.l.k.e.r. call of pripyat,0,34.99,padrao
199,dayz livonia,30,17.49,dlc
200,tom clancys rainbow six  siege  standard edition,0,59.99,padrao
201,devil may cry 4 ediçao especial,0,49.99,padrao
202,metal gear solid v ground zeroes,0,36.99,padrao
203,ultra street fighter iv,0,59.99,padrao
204,riot points  gift card digital 50 reais,0,50.0,padrao
205,xbox  cartao presente digital 100 reais,0,100.0,padrao
206,silent hill homecoming,0,34.99,padrao
207,graveyard keeper,60,15.19,padrao
208,for the king double keys,0,75.98,padrao
209,resident evil revelations 2 deluxe edition,0,74.99,padrao
210,wildfrost,0,59.99,padrao
211,lego marvel super heroes 2  season pass,90,2.99,dlc
212,dragon ball fighterz,0,149.9,padrao
213,mega man 11,0,69.99,padrao
214,super bomberman r,0,150.0,padrao
215,destiny 2 legacy collection,50,74.99,padrao
216,ni no kuni wrath of the white witch remastered,80,25.99,padrao
217,the lego movie 2 videogame,94,6.5,padrao
218,middleearth shadow of mordor  goty edition upgrade,75,4.99,dlc
219,conan exiles,0,99.49,padrao
220,inscryption,0,49.99,padrao
221,euro truck simulator 2  cabin accessories,0,11.49,dlc
222,lego indiana jones the original adventures,0,37.99,padrao
223,darksiders iii  deluxe edition,0,93.99,padrao
224,euro truck simulator 2  wheel tuning pack,0,6.49,dlc
225,mega man legacy collection,0,29.99,padrao
226,dredge,0,89.99,padrao
227,castlevania lords of shadow 2  relic rune pack,0,2.19,dlc
228,naruto to boruto  shinobi striker deluxe edition,0,239.9,padrao
229,force of nature 2 ghost keeper,0,30.99,padrao
230,forager,0,37.99,padrao
231,horizon chase turbo,0,49.99,padrao
232,castlevania lords of shadow 2  armored dracula costume,0,2.19,dlc
233,star wars knights of the old republic ii  the sith lords,0,19.99,padrao
234,lego batman 3 beyond gotham season pass,90,2.79,dlc
235,far cry 4,0,89.99,padrao
236,castlevania lords of shadow 2  dark dracula costume,0,2.19,dlc
237,batman arkham origins  season pass,80,7.39,dlc
